CountryID;Country name;ID Região;Life Ladder;Log GDP per capita;Social support;Healthy life expectancy at birth;Freedom to make life choices;Generosity;Perceptions of corruption;Positive affect;Negative affect
108;Romania;5;6130;10306;842;67500;848;-221;954;697;244
109;Russia;8;5441;10205;910;64700;715;-116;848;691;200
110;Rwanda;9;3268;7708;489;61700;869;64;168;736;418
111;Saudi Arabia;3;6561;10757;912;66600;891;-147;0;732;238
112;Senegal;9;5489;8130;688;60000;759;-19;796;789;332
113;Serbia;5;6241;9808;903;68600;753;-40;813;509;242
114;Sierra Leone;9;3447;7449;611;52400;718;74;874;513;438
115;Singapore;7;6378;11486;925;77100;938;27;70;723;138
116;Slovakia;5;6243;10398;933;69200;771;-129;926;750;252
117;Slovenia;5;6665;10563;949;71400;945;-102;785;679;228
118;South Africa;9;5035;9432;848;56900;738;-134;820;801;268
119;South Korea;6;5903;10661;783;73900;706;-55;718;684;236
120;Spain;1;6457;10618;949;74700;778;-49;730;663;316
121;Sri Lanka;10;4213;9479;815;67400;824;51;863;816;315
122;Swaziland;9;4396;9070;759;51270;597;-191;724;778;280
123;Sweden;1;7398;10882;934;72700;942;91;250;826;202
124;Switzerland;1;7694;11136;949;74400;913;36;294;798;171
125;Taiwan Province of China;6;6537;0;893;0;814;0;718;860;93
126;Tajikistan;8;5464;8126;880;64400;0;-45;490;729;178
127;Tanzania;9;3640;7886;687;58000;850;100;589;726;243
128;Thailand;7;6022;9824;903;67400;898;309;877;843;208
129;Togo;9;4179;7375;539;55100;617;65;737;590;444
130;Tunisia;3;4315;9283;610;67200;659;-209;889;539;433
131;Turkey;3;4872;10246;792;67200;631;-136;760;422;368
132;Turkmenistan;8;5474;9651;982;62600;892;285;0;510;183
133;Uganda;9;4948;7688;805;56100;704;139;826;693;385
134;Ukraine;8;4702;9458;883;64900;715;-81;885;634;201
135;United Arab Emirates;3;6711;11114;862;67300;911;129;0;793;284
136;United Kingdom;1;7157;10751;943;72500;854;271;485;775;251
137;United States;2;6944;11043;917;68200;836;144;707;815;244
138;Uruguay;4;6600;9979;933;69100;903;-95;599;889;222
139;Uzbekistan;8;6154;8853;915;65400;970;304;511;845;220
140;Venezuela;4;5081;0;888;66700;626;0;839;761;351
141;Vietnam;7;5467;8992;848;68100;952;-126;788;751;186
142;Yemen;3;4197;0;870;57500;651;0;798;543;213
143;Zambia;9;3307;8155;638;55800;811;77;832;743;394
144;Zimbabwe;9;2694;7950;759;56200;632;-64;831;716;235
